photo_id_i,photo_id_j,gps_cluster_index,base_sim,eff_sim,passed_sim,geo_score,passed_geo
meta_ebS5zV89yR,meta_a9MDZB7fxV,0,0.892353,0.892353,1,0.442308,1
meta_ebS5zV89yR,meta_hpWrNNL9pr,0,0.845246,0.845246,1,0.466667,1
meta_ebS5zV89yR,meta_JLSeBy9Fbx,0,0.832927,0.832927,1,0.307692,1
meta_ebS5zV89yR,meta_9QtRxpcez4,0,0.830508,0.830508,1,0.000000,0
meta_ebS5zV89yR,meta_RDUzA92mtr,0,0.811788,0.811788,1,0.352941,1
meta_ebS5zV89yR,meta_Cyxlw5uFnn,0,0.809126,0.809126,1,0.000000,0
meta_ebS5zV89yR,meta_JKWiRoHxMh,0,0.801234,0.801234,1,0.416667,1
meta_ebS5zV89yR,meta_EkxwOU0Asc,0,0.797040,0.797040,1,0.000000,0
meta_ebS5zV89yR,meta_CBjmFpiLBh,0,0.732672,0.732672,1,0.181818,0
meta_JKWiRoHxMh,meta_EkxwOU0Asc,0,0.861913,0.861913,1,0.545455,1
meta_JKWiRoHxMh,meta_CBjmFpiLBh,0,0.858868,0.858868,1,0.000000,0
meta_JKWiRoHxMh,meta_RDUzA92mtr,0,0.853340,0.853340,1,0.410714,1
meta_JKWiRoHxMh,meta_cmYmCF7dIF,0,0.838024,0.838024,1,0.000000,0
meta_JKWiRoHxMh,meta_9QtRxpcez4,0,0.830165,0.830165,1,0.454545,1
meta_JKWiRoHxMh,meta_a9MDZB7fxV,0,0.829114,0.829114,1,0.000000,0
meta_JKWiRoHxMh,meta_RyhJ27e3rl,0,0.825932,0.825932,1,0.000000,0
meta_JKWiRoHxMh,meta_Cyxlw5uFnn,0,0.812380,0.812380,1,0.000000,0
meta_EkxwOU0Asc,meta_CBjmFpiLBh,0,0.836438,0.836438,1,0.102564,0
meta_EkxwOU0Asc,meta_Cyxlw5uFnn,0,0.833880,0.833880,1,0.410072,1
meta_EkxwOU0Asc,meta_cmYmCF7dIF,0,0.825142,0.825142,1,0.148936,0
meta_EkxwOU0Asc,meta_a9MDZB7fxV,0,0.816471,0.816471,1,0.000000,0
meta_EkxwOU0Asc,meta_9QtRxpcez4,0,0.815750,0.815750,1,0.266667,1
meta_EkxwOU0Asc,meta_RDUzA92mtr,0,0.805536,0.805536,1,0.333333,1
meta_EkxwOU0Asc,meta_RyhJ27e3rl,0,0.791071,0.791071,1,0.333333,1
meta_RDUzA92mtr,meta_a9MDZB7fxV,0,0.898968,0.898968,1,0.476190,1
meta_RDUzA92mtr,meta_9QtRxpcez4,0,0.852598,0.852598,1,0.250000,1
meta_RDUzA92mtr,meta_JLSeBy9Fbx,0,0.821757,0.821757,1,0.000000,0
meta_RDUzA92mtr,meta_hpWrNNL9pr,0,0.795298,0.795298,1,0.416667,1
meta_RDUzA92mtr,meta_Cyxlw5uFnn,0,0.781079,0.781079,1,0.428571,1
meta_RDUzA92mtr,meta_CBjmFpiLBh,0,0.758133,0.758133,1,0.352941,1
meta_9QtRxpcez4,meta_hpWrNNL9pr,0,0.874063,0.874063,1,0.000000,0
meta_9QtRxpcez4,meta_JLSeBy9Fbx,0,0.867793,0.867793,1,0.380952,1
meta_9QtRxpcez4,meta_a9MDZB7fxV,0,0.865095,0.865095,1,0.000000,0
meta_9QtRxpcez4,meta_Cyxlw5uFnn,0,0.861973,0.861973,1,0.043478,0
meta_9QtRxpcez4,meta_CBjmFpiLBh,0,0.781739,0.781739,1,0.420455,1
meta_a9MDZB7fxV,meta_JLSeBy9Fbx,0,0.865567,0.865567,1,0.400000,1
meta_a9MDZB7fxV,meta_hpWrNNL9pr,0,0.830449,0.830449,1,0.291667,1
meta_a9MDZB7fxV,meta_Cyxlw5uFnn,0,0.810749,0.810749,1,0.428571,1
meta_a9MDZB7fxV,meta_CBjmFpiLBh,0,0.763474,0.763474,1,0.363636,1
meta_hpWrNNL9pr,meta_JLSeBy9Fbx,0,0.889034,0.889034,1,0.000000,0
meta_hpWrNNL9pr,meta_Cyxlw5uFnn,0,0.888353,0.888353,1,0.000000,0
meta_hpWrNNL9pr,meta_CBjmFpiLBh,0,0.711296,0.711296,1,0.000000,0
meta_JLSeBy9Fbx,meta_Cyxlw5uFnn,0,0.864679,0.864679,1,0.705882,1
meta_JLSeBy9Fbx,meta_CBjmFpiLBh,0,0.722649,0.722649,1,0.500000,1
meta_cmYmCF7dIF,meta_CBjmFpiLBh,0,0.930318,0.930318,1,0.471698,1
meta_cmYmCF7dIF,meta_RyhJ27e3rl,0,0.856972,0.856972,1,0.333333,1
meta_cmYmCF7dIF,meta_Cyxlw5uFnn,0,0.763764,0.763764,1,0.238095,0
meta_CBjmFpiLBh,meta_RyhJ27e3rl,0,0.864360,0.864360,1,0.470588,1
meta_CBjmFpiLBh,meta_Cyxlw5uFnn,0,0.778740,0.778740,1,0.300000,1
meta_WWUGnZoEsy,meta_VUD5gIv9Pl,1,0.860508,0.860508,1,0.000000,0
meta_WWUGnZoEsy,meta_j2i5NTQrNx,1,0.811199,0.811199,1,0.000000,0
meta_WWUGnZoEsy,meta_f81pSv0lZP,1,0.802339,0.802339,1,0.000000,0
meta_WWUGnZoEsy,meta_i5v2E0Plkh,1,0.801072,0.801072,1,0.000000,0
meta_WWUGnZoEsy,meta_4CcIc2VFZw,1,0.773790,0.773790,1,0.000000,0
meta_WWUGnZoEsy,meta_JQX506acTz,1,0.758662,0.758662,1,0.750000,1
meta_WWUGnZoEsy,meta_QeCQ19Jo7S,1,0.758071,0.758071,1,0.000000,0
meta_JQX506acTz,meta_i5v2E0Plkh,1,0.809189,0.809189,1,0.400000,1
meta_JQX506acTz,meta_f81pSv0lZP,1,0.804407,0.804407,1,0.500000,1
meta_JQX506acTz,meta_j2i5NTQrNx,1,0.789205,0.789205,1,0.000000,0
meta_JQX506acTz,meta_VUD5gIv9Pl,1,0.749910,0.749910,1,0.000000,0
meta_JQX506acTz,meta_4CcIc2VFZw,1,0.729534,0.729534,1,0.466667,1
meta_JQX506acTz,meta_QeCQ19Jo7S,1,0.716030,0.716030,1,0.000000,0
meta_QeCQ19Jo7S,meta_f81pSv0lZP,1,0.865124,0.865124,1,0.215385,0
meta_QeCQ19Jo7S,meta_i5v2E0Plkh,1,0.821940,0.821940,1,0.333333,1
meta_QeCQ19Jo7S,meta_j2i5NTQrNx,1,0.814273,0.814273,1,0.000000,0
meta_QeCQ19Jo7S,meta_VUD5gIv9Pl,1,0.725646,0.725646,1,0.150000,0
meta_QeCQ19Jo7S,meta_4CcIc2VFZw,1,0.710500,0.710500,1,0.307692,1
meta_4CcIc2VFZw,meta_VUD5gIv9Pl,1,0.893199,0.893199,1,0.560000,1
meta_4CcIc2VFZw,meta_j2i5NTQrNx,1,0.783019,0.783019,1,0.500000,1
meta_4CcIc2VFZw,meta_i5v2E0Plkh,1,0.757957,0.757957,1,0.000000,0
meta_4CcIc2VFZw,meta_f81pSv0lZP,1,0.742010,0.742010,1,0.000000,0
meta_j2i5NTQrNx,meta_f81pSv0lZP,1,0.851204,0.851204,1,0.320000,1
meta_j2i5NTQrNx,meta_i5v2E0Plkh,1,0.845918,0.845918,1,0.448980,1
meta_j2i5NTQrNx,meta_VUD5gIv9Pl,1,0.833357,0.833357,1,0.358491,1
meta_VUD5gIv9Pl,meta_i5v2E0Plkh,1,0.778226,0.778226,1,0.294118,1
meta_VUD5gIv9Pl,meta_f81pSv0lZP,1,0.772305,0.772305,1,0.333333,1
meta_f81pSv0lZP,meta_i5v2E0Plkh,1,0.870722,0.870722,1,0.357143,1
